Realisation number,Variable,index,Lag-2 AC,Lag-1 AC,Coefficient of variation,Smax/Mean,Skewness,Kurtosis,Standard deviation,Smax,Variance,Lag-3 AC,Smax/Var,Cross correlation
38,Breeding,0,0.24108458591217208,0.9392867668729736,0.4759799587385794,-0.06666666666666665,0.3825523135867963,0.6875921013852048,-0.9902740937223694,-0.8666666666666666,-0.9902740937223694,0.1497200117889773,0.7333333333333333,-0.010869565217391306
39,Non-breeding,0,0.3580901856763925,0.9581491305629236,0.9030356616563513,0.6,0.5549661066902446,0.4550545240200412,-0.9322133804892424,-0.6,-0.9322133804892424,0.8608900677866194,0.7333333333333333,0.32525083612040134
39,Breeding,0,-0.05010315355142941,0.9616858237547892,0.7462422634836426,0.06666666666666665,0.5879752431476569,-0.026819923371647507,-0.9764220453875625,-0.9999999999999999,-0.9764220453875625,0.7318007662835248,0.3333333333333333,0.32525083612040134
40,Non-breeding,0,0.25817860300618917,0.7232537577365162,0.6696139109932212,-0.06666666666666665,0.00618921308576481,-0.094017094017094,-0.9572649572649571,-0.7333333333333333,-0.9572649572649571,0.08488063660477453,0.2,0.04487179487179487
40,Breeding,0,0.21013852048334805,0.8429118773946359,0.29885057471264365,-0.6,0.14205717653993513,0.1181844974948423,-0.9846743295019156,-0.9999999999999999,-0.9846743295019156,0.5543766578249336,0.3333333333333333,0.04487179487179487
41,Non-breeding,0,0.9089301503094606,0.9637488947833773,0.950781019746537,-0.06666666666666665,0.327438844680224,-0.23342175066312995,-0.9236663719422339,-0.7333333333333333,-0.9236663719422339,0.10167992926613616,0.06666666666666665,0.622166480862133
41,Breeding,0,0.4756852343059239,0.8753315649867374,0.8838785735337459,-0.2,-0.4718538166814028,0.8762157382847037,-0.9708222811671087,-0.8666666666666666,-0.9708222811671087,0.32773356911287943,0.3333333333333333,0.622166480862133
42,Non-breeding,0,-0.41791924550545234,0.9375184202770408,0.2587680518715001,-0.7333333333333333,0.5481874447391688,0.3377541998231653,-0.9581491305629236,-0.8666666666666666,-0.9581491305629236,0.2543471853816681,-0.2,-0.5432924563359346
42,Breeding,0,0.6478043029767168,0.9339817270851752,0.3978779840848806,-0.7333333333333333,0.7621573828470379,0.7757147067491894,-0.9890951959917476,-0.9999999999999999,-0.9890951959917476,0.4167403477748305,0.4666666666666666,-0.5432924563359346
43,Non-breeding,0,0.4143825523135868,0.9652225169466547,0.21514883583849098,0.06666666666666665,0.14028882994400235,-0.44974948423224276,-0.9460654288240493,-0.4666666666666666,-0.9460654288240493,0.5361037430002946,0.7333333333333333,-0.25873281308063917
43,Breeding,0,0.013557323902151485,0.923076923076923,0.04509283819628647,-0.06666666666666665,0.3563218390804597,-0.20748600058944885,-0.9817270851753609,-0.7333333333333333,-0.9817270851753609,0.6074270557029177,0.4666666666666666,-0.25873281308063917
44,Non-breeding,0,0.7309165929855584,0.8567639257294428,0.9124668435013261,0.3333333333333333,-0.2705570291777188,0.7645151783082818,-0.9575596816976127,-0.8666666666666666,-0.9575596816976127,0.1270262304745063,0.3333333333333333,-0.07515793385358603
44,Breeding,0,0.7238432066018272,0.87061597406425,0.6162687886825817,-0.2,0.5119363395225464,0.7730621868552903,-0.9867374005305038,-0.7333333333333333,-0.9867374005305038,0.5083996463306808,0.4666666666666666,-0.07515793385358603
45,Non-breeding,0,-0.29501915708812254,0.9171824344238135,0.8004715590922487,-0.4666666666666666,0.44768641320365454,-0.4414972001178897,-0.9669908635425876,-0.9999999999999999,-0.9669908635425876,0.6038903625110521,-0.4666666666666666,0.3749535488665924
45,Breeding,0,0.1514883583849101,0.8994989684644855,0.6634246979074565,-0.7333333333333333,0.29560860595343347,0.6460359563807838,-0.9823165340406719,-0.9999999999999999,-0.9823165340406719,0.32478632478632474,-0.06666666666666665,0.3749535488665924
46,Non-breeding,0,0.49808429118773945,0.9369289714117298,0.6669613910993221,-0.06666666666666665,0.4671382257589154,-0.49955791335101674,-0.9428234600648393,-0.7333333333333333,-0.9428234600648393,0.6640141467727674,0.06666666666666665,-0.23773690078037904
46,Breeding,0,0.7541998231653403,0.9599174771588564,0.8570586501620984,-0.4666666666666666,0.3457117595048629,-0.2714412024756852,-0.9799587385794282,-0.8666666666666666,-0.9799587385794282,0.712348953728264,0.2,-0.23773690078037904
47,Non-breeding,0,0.7624521072796934,0.9569702328323018,0.9251399941055112,0.8666666666666666,0.779840848806366,0.515473032714412,-0.9622752726201002,-0.2,-0.9622752726201002,0.7780725022104332,0.8666666666666666,0.1938870308435526
47,Breeding,0,0.6760978485116416,0.9213085764809902,0.36015325670498083,0.4666666666666666,0.5582080754494547,-0.2608311229000884,-0.9602122015915118,-0.3333333333333333,-0.9602122015915118,0.8255231358679633,0.8666666666666666,0.1938870308435526
48,Non-breeding,0,0.22634836427939875,0.9646330680813439,0.8001768346595932,0.8666666666666666,-0.01119952844090775,-0.456822870615974,-0.9207191276156793,-0.7333333333333333,-0.9207191276156793,0.8054818744473916,0.8666666666666666,0.5075250836120402
48,Breeding,0,0.5708812260536398,0.9740642499263188,0.524314765694076,0.6,0.0465664603595638,-0.4285293250810492,-0.9301503094606541,-0.06666666666666665,-0.9301503094606541,0.787503684055408,0.7333333333333333,0.5075250836120402
49,Non-breeding,0,0.6336575302092543,0.9610963748894783,0.8128499852637783,0.9999999999999999,0.3613321544356027,-0.49248452696728556,-0.89596227527262,0.8666666666666666,-0.89596227527262,0.7141173003241967,0.9999999999999999,0.15403195837978445
49,Breeding,0,0.5151783082817565,0.9395814913056292,0.7898614795166518,0.6,0.4886531093427644,0.2572944297082228,-0.9802534630120837,0.06666666666666665,-0.9802534630120837,0.7792513999410551,0.8666666666666666,0.15403195837978445
50,Non-breeding,0,0.6407309165929855,0.9162982611258472,0.868258178603006,-0.06666666666666665,-0.14647804302976716,0.2708517536103743,-0.9652225169466547,-0.7333333333333333,-0.9652225169466547,0.5753020925434718,0.06666666666666665,-0.09234485321441843
50,Breeding,0,0.43236074270557023,0.8458591217211906,0.34246979074565276,-0.3333333333333333,-0.15119363395225463,-0.3239021514883584,-0.963454170350722,-0.9999999999999999,-0.963454170350722,-0.11788977306218684,0.6,-0.09234485321441843
51,Non-breeding,0,0.4423813734158561,0.9516651930445033,0.9310344827586206,0.8666666666666666,-0.1809608016504568,0.5540819333922782,-0.9210138520483346,-0.9999999999999999,-0.9210138520483346,0.7933981727085175,0.7333333333333333,0.18589743589743593
51,Breeding,0,0.645446507515473,0.9148246389625698,0.9330975537872089,0.8666666666666666,-0.8234600648393752,0.2735042735042735,-0.971706454465075,-0.6,-0.971706454465075,0.8726790450928381,0.8666666666666666,0.18589743589743593
52,Non-breeding,0,0.6424992631889183,0.9204244031830238,0.8160919540229885,0.6,-0.4783377541998231,-0.16681402888299438,-0.9510757441791923,-0.6,-0.9510757441791923,0.5095785440613027,0.4666666666666666,0.42614269788182835
52,Breeding,0,0.5425876805187149,0.8806366047745356,0.676392572944297,0.7333333333333333,0.2402004126142057,0.31063955201886234,-0.9699381078691421,-0.9999999999999999,-0.9699381078691421,0.5175361037430002,0.9999999999999999,0.42614269788182835
53,Non-breeding,0,0.6083112290008841,0.9434129089301503,0.6489832007073386,0.06666666666666665,0.08311229000884172,0.08900677866195107,-0.9519599174771588,-0.8666666666666666,-0.9519599174771588,0.25788387857353373,0.6,0.6238387216648087
