Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Variance,Lag-3 AC,Smax/Var,Standard deviation,Skewness,Smax,Lag-1 AC,Cross correlation
29,Breeding,0,0.1400709219858156,0.45744680851063835,-0.21631205673758866,-0.9663120567375888,0.7287234042553192,0.37777777777777777,-0.9663120567375888,-0.3439716312056738,-0.7777777777777777,0.4556737588652483,0.2801418439716312
29,Total,0,0.39539007092198586,0.6081560283687943,-0.27659574468085113,-0.9255319148936171,0.7056737588652483,0.37777777777777777,-0.9255319148936171,-0.4273049645390071,-0.6888888888888888,0.5301418439716312,0.2801418439716312
30,Non-breeding,0,0.923758865248227,0.2570921985815603,0.2393617021276596,-0.8865248226950355,-0.4716312056737589,0.4666666666666666,-0.8865248226950355,0.3918439716312057,-0.24444444444444444,0.7677304964539008,0.26063829787234044
30,Breeding,0,0.9414893617021277,0.4822695035460993,0.6578014184397164,-0.9397163120567377,-0.5230496453900709,0.5111111111111111,-0.9397163120567377,0.6613475177304965,-0.4222222222222222,0.5762411347517731,0.26063829787234044
30,Total,0,0.921985815602837,0.524822695035461,0.29078014184397166,-0.9255319148936171,-0.43794326241134757,0.5555555555555555,-0.9255319148936171,0.547872340425532,-0.1111111111111111,0.8351063829787235,0.26063829787234044
31,Non-breeding,0,0.9326241134751774,0.7677304964539008,0.07624113475177306,-0.7163120567375887,-0.7375886524822696,0.3333333333333333,-0.7163120567375887,0.10638297872340427,-0.37777777777777777,0.7411347517730497,0.8847517730496455
31,Breeding,0,0.9450354609929079,-0.20567375886524825,-0.1648936170212766,-0.7109929078014185,-0.8014184397163121,0.06666666666666667,-0.7109929078014185,0.7748226950354611,-0.28888888888888886,0.8794326241134752,0.8847517730496455
31,Total,0,0.9521276595744681,0.46453900709219864,0.22872340425531917,-0.6205673758865249,-0.8457446808510639,0.06666666666666667,-0.6205673758865249,0.4326241134751773,-0.4222222222222222,0.8847517730496455,0.8847517730496455
32,Non-breeding,0,0.7074468085106383,0.5443262411347519,-0.08156028368794327,-0.7570921985815604,0.5265957446808511,0.6,-0.7570921985815604,0.5921985815602837,-0.28888888888888886,0.7145390070921986,0.34751773049645396
32,Breeding,0,0.8705673758865249,-0.08333333333333334,-0.040780141843971635,-0.8528368794326242,0.6719858156028369,0.19999999999999998,-0.8528368794326242,0.34574468085106386,-0.37777777777777777,-0.3794326241134752,0.34751773049645396
32,Total,0,0.7748226950354611,0.4202127659574469,-0.24822695035460995,-0.7553191489361704,0.723404255319149,0.4222222222222222,-0.7553191489361704,0.2021276595744681,-0.15555555555555553,0.2464539007092199,0.34751773049645396
33,Non-breeding,0,0.9556737588652483,0.16843971631205673,0.5195035460992908,-0.9060283687943264,-0.32269503546099293,-0.15555555555555553,-0.9060283687943264,-0.2517730496453901,-0.37777777777777777,0.3634751773049646,0.9024822695035463
33,Breeding,0,0.8581560283687945,-0.31028368794326244,0.7322695035460993,-0.9379432624113476,-0.29078014184397166,-0.1111111111111111,-0.9379432624113476,-0.5585106382978724,-0.7333333333333333,0.5620567375886526,0.9024822695035463
33,Total,0,0.9397163120567377,0.4450354609929078,0.771276595744681,-0.8847517730496455,-0.1719858156028369,-0.24444444444444444,-0.8847517730496455,-0.5124113475177305,-0.4222222222222222,0.597517730496454,0.9024822695035463
34,Non-breeding,0,0.8528368794326242,-0.25886524822695034,0.4326241134751773,-0.7819148936170214,-0.09042553191489362,-0.3333333333333333,-0.7819148936170214,0.24113475177304966,-0.6444444444444444,0.49822695035460995,0.7641843971631207
34,Breeding,0,0.8687943262411348,-0.06560283687943262,0.6790780141843972,-0.7517730496453902,0.35815602836879434,0.022222222222222223,-0.7517730496453902,0.6790780141843972,-0.37777777777777777,0.8528368794326242,0.7641843971631207
34,Total,0,0.8687943262411348,-0.2712765957446809,0.5851063829787234,-0.6542553191489362,0.11170212765957448,-0.3333333333333333,-0.6542553191489362,0.4893617021276596,-0.6888888888888888,0.74822695035461,0.7641843971631207
35,Non-breeding,0,0.36524822695035464,0.4663120567375887,0.19680851063829788,-0.9609929078014184,0.34751773049645396,-0.24444444444444444,-0.9609929078014184,0.5106382978723405,-0.8666666666666666,-0.3085106382978724,-0.20390070921985817
35,Breeding,0,-0.014184397163120569,0.5620567375886526,0.4539007092198582,-0.9680851063829788,-0.27482269503546103,-0.3333333333333333,-0.9680851063829788,0.30496453900709225,-0.911111111111111,-0.2446808510638298,-0.20390070921985817
35,Total,0,0.09397163120567377,0.5,0.35992907801418444,-0.9787234042553192,0.06205673758865249,-0.1111111111111111,-0.9787234042553192,0.546099290780142,-0.9555555555555554,-0.33333333333333337,-0.20390070921985817
36,Non-breeding,0,0.7056737588652483,0.3634751773049646,0.7641843971631207,-0.9361702127659576,0.2021276595744681,0.15555555555555553,-0.9361702127659576,0.1648936170212766,-0.8222222222222221,0.5053191489361702,0.5904255319148937
36,Breeding,0,0.6524822695035462,0.27659574468085113,-0.2393617021276596,-0.9273049645390072,-0.0053191489361702135,0.15555555555555553,-0.9273049645390072,-0.6329787234042554,-0.6444444444444444,0.5070921985815603,0.5904255319148937
36,Total,0,0.7109929078014185,0.47695035460992913,0.6152482269503547,-0.9095744680851066,0.2393617021276596,0.19999999999999998,-0.9095744680851066,-0.34751773049645396,-0.7333333333333333,0.5070921985815603,0.5904255319148937
37,Non-breeding,0,0.921985815602837,0.019503546099290784,0.021276595744680854,-0.921985815602837,0.3670212765957447,-0.19999999999999998,-0.921985815602837,0.2021276595744681,-0.7777777777777777,-0.5301418439716312,0.7996453900709221
37,Breeding,0,0.8847517730496455,-0.26773049645390073,0.5815602836879433,-0.9450354609929079,-0.10283687943262412,-0.1111111111111111,-0.9450354609929079,0.5762411347517731,-0.6888888888888888,0.4680851063829788,0.7996453900709221
37,Total,0,0.921985815602837,-0.3351063829787234,-0.12588652482269505,-0.897163120567376,0.040780141843971635,-0.022222222222222223,-0.897163120567376,0.5709219858156029,-0.5111111111111111,-0.03191489361702128,0.7996453900709221
38,Non-breeding,0,0.6737588652482269,0.4273049645390071,-0.04964539007092199,-0.9645390070921986,0.6365248226950355,0.15555555555555553,-0.9645390070921986,0.6170212765957448,-0.5555555555555555,0.475177304964539,0.47695035460992913
38,Breeding,0,0.5106382978723405,-0.4893617021276596,0.14184397163120568,-0.8989361702127661,0.5496453900709221,-0.19999999999999998,-0.8989361702127661,-0.30496453900709225,-0.4666666666666666,0.5709219858156029,0.47695035460992913
38,Total,0,0.6684397163120568,-0.2021276595744681,-0.0921985815602837,-0.921985815602837,0.7358156028368795,-0.15555555555555553,-0.921985815602837,-0.33156028368794327,-0.4222222222222222,0.547872340425532,0.47695035460992913
39,Non-breeding,0,0.9042553191489363,0.4964539007092199,0.1843971631205674,-0.9095744680851066,0.7872340425531915,0.5555555555555555,-0.9095744680851066,0.448581560283688,-0.4666666666666666,0.6046099290780141,0.75
39,Breeding,0,0.9024822695035463,0.36524822695035464,-0.23226950354609932,-0.8758865248226951,0.8670212765957448,0.1111111111111111,-0.8758865248226951,0.21099290780141847,-0.6888888888888888,0.6187943262411348,0.75
39,Total,0,0.9060283687943264,0.46985815602836883,-0.3546099290780142,-0.8368794326241136,0.9397163120567377,0.3333333333333333,-0.8368794326241136,-0.0549645390070922,-0.24444444444444444,0.6613475177304965,0.75
40,Non-breeding,0,0.8510638297872342,-0.16312056737588654,-0.2198581560283688,-0.9166666666666667,0.3758865248226951,0.06666666666666667,-0.9166666666666667,0.0549645390070922,-0.4666666666666666,0.7890070921985817,0.5265957446808511
40,Breeding,0,0.5177304964539007,-0.28900709219858156,-0.0797872340425532,-0.9734042553191491,-0.16843971631205673,0.24444444444444444,-0.9734042553191491,0.3156028368794327,-0.8666666666666666,0.8067375886524824,0.5265957446808511
40,Total,0,0.7872340425531915,-0.34219858156028377,0.0053191489361702135,-0.9627659574468085,0.28368794326241137,0.1111111111111111,-0.9627659574468085,0.07269503546099292,-0.6444444444444444,0.8085106382978724,0.5265957446808511
41,Non-breeding,0,0.9131205673758866,0.3191489361702128,-0.1223404255319149,-0.9166666666666667,-0.13120567375886524,0.1111111111111111,-0.9166666666666667,-0.2269503546099291,-0.6444444444444444,0.8404255319148938,0.8634751773049646
41,Breeding,0,0.8368794326241136,0.04609929078014185,0.1046099290780142,-0.9060283687943264,-0.31028368794326244,0.15555555555555553,-0.9060283687943264,-0.28368794326241137,-0.6,0.6418439716312058,0.8634751773049646
