Realisation number,Variable,index,Standard deviation,Variance,Kurtosis,Lag-3 AC,Lag-1 AC,Smax,Coefficient of variation,Smax/Var,Skewness,Lag-2 AC
85,x,0,-0.9858180761406565,-0.9858180761406565,0.021331008427782617,0.6511479221156639,0.9367625690206334,-0.911111111111111,0.8274920081371693,0.7777777777777777,-0.18419064225515835,0.7070619006102876
86,x,0,-0.9773321708805578,-0.9773321708805578,-0.05748328974135424,0.633362394652717,0.9060738157512349,-0.8666666666666666,0.7926184248764893,0.911111111111111,0.32845103167683803,0.8981691368788142
87,x,0,-0.9782621331008426,-0.9782621331008426,0.20174367916303396,0.7978494623655912,0.8978204010462073,-0.9999999999999999,0.6256902063353675,0.5555555555555555,0.30764312699796564,0.689508863702412
88,x,0,-0.9755884917175237,-0.9755884917175237,0.3484452194129613,0.6785818076140656,0.8374891020052309,-0.911111111111111,0.6627724498692239,0.6444444444444444,0.26556233653007844,0.8642255158384189
89,x,0,-0.974077303109561,-0.974077303109561,-0.2599825632083696,0.6291775646614355,0.9402499273467013,-0.6888888888888888,0.7479802383028188,0.8666666666666666,-0.03283929090380703,0.9097936646323741
90,x,0,-0.9784946236559139,-0.9784946236559139,0.05283347863993024,0.7364719558267944,0.9106073815751232,-0.4666666666666666,0.9414123801220574,0.8222222222222221,0.699970938680616,0.81505376344086
91,x,0,-0.9852368497529785,-0.9852368497529785,-0.07433885498401625,0.6824179017727403,0.941528625399593,-0.9999999999999999,0.5929090380703282,0.4666666666666666,-0.11769834350479509,0.6388259226968903
92,x,0,-0.9827956989247308,-0.9827956989247308,-0.47364138331880257,0.5365300784655622,0.9529206625980817,-0.7777777777777777,0.78308631211857,0.9555555555555554,-0.28555652426620165,0.8429526300494041
93,x,0,-0.9689625108979946,-0.9689625108979946,0.28892763731473403,0.6955536181342631,0.915954664341761,-0.28888888888888886,0.939203719848881,0.5111111111111111,0.7010171461784364,0.7277535600116244
94,x,0,-0.9709386806160998,-0.9709386806160998,0.6927637314734088,0.7484452194129612,0.9269979657076429,-0.911111111111111,0.9275791920953209,0.8222222222222221,-0.7308921825050856,0.8338854984016272
95,x,0,-0.9861668119732635,-0.9861668119732635,0.5589654170299331,0.801685556524266,0.9132810229584422,-0.15555555555555553,0.9340889276373145,0.9555555555555554,0.6305725079918627,0.8535309503051437
96,x,0,-0.9815170008718392,-0.9815170008718392,0.7192676547515257,0.251729148503342,0.9279279279279278,-0.7333333333333333,0.8879395524556812,0.5555555555555555,0.32798605056669566,0.5196745132229003
97,x,0,-0.9338564370822433,-0.9338564370822433,0.3103167683812844,0.5253705318221445,0.9471083987213017,-0.7777777777777777,0.9614065678581806,0.911111111111111,-0.5497820401046206,0.8544609125254284
98,x,0,-0.9736123219994186,-0.9736123219994186,0.44074396977622776,-0.04841615809357744,0.9507120023249054,-0.8666666666666666,0.7794827085149665,0.6,0.634524847428073,0.8360941586748036
99,x,0,-0.9818657367044462,-0.9818657367044462,-0.25289160127869803,0.38936355710549253,0.9498982853821561,-0.9555555555555554,0.7340308049985468,0.7333333333333333,0.14606219122348152,0.23743097936646318
100,x,0,-0.9858180761406565,-0.9858180761406565,0.640337111304853,0.6437082243533856,0.7111304853240337,-0.7777777777777777,0.5213019471083986,0.3333333333333333,0.006335367625690205,0.7763440860215052
