,rb,rnb,x,y,x_num,y_num
301,0.9,-0.8,19.582703508641412,8.684042324219314,19.582703508641412,8.684042324219314
302,0.9,-0.7,36.242582743150976,17.564498439660273,36.242582743150976,17.564498439660273
303,0.9,-0.6,50.18294350205278,26.627706196662075,50.18294350205278,26.627706196662075
304,0.9,-0.5,61.62117731588377,35.85905688437263,61.62117731588377,35.85905688437263
305,0.9,-0.4,70.78324973450366,45.24336561784134,70.78324973450366,45.24336561784134
306,0.9,-0.3,77.89823345152914,54.765238712057254,77.89823345152914,54.765238712057254
307,0.9,-0.2,83.19320526080611,64.40941660647384,83.19320526080611,64.40941660647384
308,0.9,-0.1,86.8887589907538,74.16107539582134,86.8887589907538,74.16107539582134
309,0.9,0.0,89.19530190852136,84.00607571174736,89.19530190852136,84.00607571174736
310,1.0,-3.0,Extinct,Extinct,,
311,1.0,-2.9,Extinct,Extinct,,
312,1.0,-2.8,Extinct,Extinct,,
313,1.0,-2.7,Extinct,Extinct,,
314,1.0,-2.6,Extinct,Extinct,,
315,1.0,-2.5,Extinct,Extinct,,
316,1.0,-2.4,Extinct,Extinct,,
317,1.0,-2.3,Extinct,Extinct,,
318,1.0,-2.2,Extinct,Extinct,,
319,1.0,-2.1,Extinct,Extinct,,
320,1.0,-2.0,Extinct,Extinct,,
321,1.0,-1.9,Extinct,Extinct,,
322,1.0,-1.8,Extinct,Extinct,,
323,1.0,-1.7,Extinct,Extinct,,
324,1.0,-1.6,Extinct,Extinct,,
325,1.0,-1.5,Extinct,Extinct,,
326,1.0,-1.4,Extinct,Extinct,,
327,1.0,-1.3,Extinct,Extinct,,
328,1.0,-1.2,Extinct,Extinct,,
329,1.0,-1.1,Extinct,Extinct,,
330,1.0,-1.0,0.11470096895523804,0.04219287604888434,0.11470096895523804,0.04219287604888434
331,1.0,-0.9,21.368748734096634,8.564020085068718,21.368748734096634,8.564020085068718
332,1.0,-0.8,39.625782329170995,17.337147427479728,39.625782329170995,17.337147427479728
333,1.0,-0.7,54.967505137615234,26.306183654752267,54.967505137615234,26.306183654752267
334,1.0,-0.6,67.60922929577885,35.456659791323666,67.60922929577885,35.456659791323666
335,1.0,-0.5,77.7795045965099,44.77321729111453,77.7795045965099,44.77321729111453
336,1.0,-0.4,85.71421520944449,54.24000473792534,85.71421520944449,54.24000473792534
337,1.0,-0.3,91.65082561632198,63.84106451858316,91.65082561632198,63.84106451858316
338,1.0,-0.2,95.82310825971305,73.56068712494728,95.82310825971305,73.56068712494728
339,1.0,-0.1,98.45660364546518,83.38371623502476,98.45660364546518,83.38371623502476
340,1.0,0.0,99.76496670020884,93.29579423774598,99.76496670020884,93.29579423774598
341,1.1,-3.0,Extinct,Extinct,,
342,1.1,-2.9,Extinct,Extinct,,
343,1.1,-2.8,Extinct,Extinct,,
344,1.1,-2.7,Extinct,Extinct,,
345,1.1,-2.6,Extinct,Extinct,,
346,1.1,-2.5,Extinct,Extinct,,
347,1.1,-2.4,Extinct,Extinct,,
348,1.1,-2.3,Extinct,Extinct,,
349,1.1,-2.2,Extinct,Extinct,,
350,1.1,-2.1,Extinct,Extinct,,
351,1.1,-2.0,Extinct,Extinct,,
352,1.1,-1.9,Extinct,Extinct,,
353,1.1,-1.8,Extinct,Extinct,,
354,1.1,-1.7,Extinct,Extinct,,
355,1.1,-1.6,Extinct,Extinct,,
356,1.1,-1.5,Extinct,Extinct,,
357,1.1,-1.4,Extinct,Extinct,,
358,1.1,-1.3,Extinct,Extinct,,
359,1.1,-1.2,Extinct,Extinct,,
360,1.1,-1.1,0.12474329563748932,0.04151995534320037,0.12474329563748932,0.04151995534320037
361,1.1,-1.0,23.290121025784817,8.434903867067275,23.290121025784817,8.434903867067275
362,1.1,-0.9,43.27923020373238,17.091635730309203,43.27923020373238,17.091635730309203
363,1.1,-0.8,60.153026882156105,25.95771659351912,60.153026882156105,25.95771659351912
364,1.1,-0.7,74.12121406839131,35.01905441460412,74.12121406839131,35.01905441460412
365,1.1,-0.6,85.4118946856233,44.260320677126124,85.4118946856233,44.260320677126124
366,1.1,-0.5,94.26539679975173,53.66536533505669,94.26539679975173,53.66536533505669
367,1.1,-0.4,100.92795878084307,63.21764116992735,100.92795878084307,63.21764116992735
368,1.1,-0.3,105.64568558296173,72.90060992882498,105.64568558296173,72.90060992882498
369,1.1,-0.2,108.6591199629969,82.69810713848662,108.6591199629969,82.69810713848662
370,1.1,-0.1,110.19867399041793,92.59464910784392,110.19867399041793,92.59464910784392
371,1.1,0.0,110.48105622180915,102.57567302189443,110.48105622180915,102.57567302189443
372,1.2,-3.0,Extinct,Extinct,,
373,1.2,-2.9,Extinct,Extinct,,
374,1.2,-2.8,Extinct,Extinct,,
375,1.2,-2.7,Extinct,Extinct,,
376,1.2,-2.6,Extinct,Extinct,,
377,1.2,-2.5,Extinct,Extinct,,
378,1.2,-2.4,Extinct,Extinct,,
379,1.2,-2.3,Extinct,Extinct,,
380,1.2,-2.2,Extinct,Extinct,,
381,1.2,-2.1,Extinct,Extinct,,
382,1.2,-2.0,Extinct,Extinct,,
383,1.2,-1.9,Extinct,Extinct,,
384,1.2,-1.8,Extinct,Extinct,,
385,1.2,-1.7,Extinct,Extinct,,
386,1.2,-1.6,Extinct,Extinct,,
387,1.2,-1.5,Extinct,Extinct,,
388,1.2,-1.4,Extinct,Extinct,,
389,1.2,-1.3,Extinct,Extinct,,
390,1.2,-1.2,0.1354745974054595,0.04080045000128681,0.1354745974054595,0.04080045000128681
391,1.2,-1.1,25.351873066780577,8.296354129912354,25.351873066780577,8.296354129912354
392,1.2,-1.0,47.215433185174135,16.827122889956307,47.215433185174135,16.827122889956307
393,1.2,-0.9,65.76151752097262,25.580826022590646,65.76151752097262,25.580826022590646
394,1.2,-0.8,81.19017610240452,34.544020165918425,81.19017610240452,34.544020165918425
395,1.2,-0.7,93.72541461629639,43.70165213778488,93.72541461629639,43.70165213778488
396,1.2,-0.6,103.60897972963149,53.03747656216878,103.60897972963149,53.03747656216878
397,1.2,-0.5,111.09363994159183,62.53450739592503,111.09363994159183,62.53450739592503
398,1.2,-0.4,116.43643971781775,72.17547125096264,116.43643971781775,72.17547125096264
399,1.2,-0.3,119.892366797341,81.94323295121868,119.892366797341,81.94323295121868
400,1.2,-0.2,121.70878471696189,91.82116966702014,121.70878471696189,91.82116966702014
401,1.2,-0.1,122.12086551982883,101.79347783706751,122.12086551982883,101.79347783706751
402,1.2,0.0,121.34813397821019,111.84540539666428,121.34813397821019,111.84540539666428
403,1.3,-3.0,Extinct,Extinct,,
404,1.3,-2.9,Extinct,Extinct,,
405,1.3,-2.8,Extinct,Extinct,,
406,1.3,-2.7,Extinct,Extinct,,
407,1.3,-2.6,Extinct,Extinct,,
408,1.3,-2.5,Extinct,Extinct,,
409,1.3,-2.4,Extinct,Extinct,,
410,1.3,-2.3,Extinct,Extinct,,
411,1.3,-2.2,Extinct,Extinct,,
412,1.3,-2.1,Extinct,Extinct,,
413,1.3,-2.0,Extinct,Extinct,,
414,1.3,-1.9,Extinct,Extinct,,
415,1.3,-1.8,Extinct,Extinct,,
416,1.3,-1.7,Extinct,Extinct,,
417,1.3,-1.6,Extinct,Extinct,,
418,1.3,-1.5,Extinct,Extinct,,
419,1.3,-1.4,Extinct,Extinct,,
420,1.3,-1.3,0.14690913156778698,0.04003345662375214,0.14690913156778698,0.04003345662375214
421,1.3,-1.2,27.55825459732771,8.14808529105961,27.55825459732771,8.14808529105961
422,1.3,-1.1,51.44563645295203,16.54285323036163,51.44563645295203,16.54285323036163
423,1.3,-1.0,71.81369987475462,25.174119368416505,71.81369987475462,25.174119368416505
424,1.3,-0.9,88.8483258119234,34.02939250543875,88.8483258119234,34.02939250543875
425,1.3,-0.8,102.76513971395165,43.094182611222465,102.76513971395165,43.094182611222465
426,1.3,-0.7,113.80355833723748,52.35240087973765,113.80355833723748,52.35240087973765
427,1.3,-0.6,122.21990100759,61.78682265228996,122.21990100759,61.78682265228996
428,1.3,-0.5,128.28008372798772,71.37957837347922,128.28008372798772,71.37957837347922
429,1.3,-0.4,132.25242396303628,81.11263710968394,132.25242396303628,81.11263710968394
430,1.3,-0.3,134.40102381469148,90.96825119965276,134.40102381469148,90.96825119965276
431,1.3,-0.2,134.98008758884868,100.92933811402935,134.98008758884868,100.92933811402935
432,1.3,-0.1,134.22939210839507,110.97978485031585,134.22939210839507,110.97978485031585
