Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
22,Total,0,0.9791666666666666,0.8881692573402418,0.9457037996545768,-0.3338730569948187,0.6210526315789474,0.397020725388601,-0.802461139896373,-0.802461139896373,0.5694084628670121,-0.15789473684210525,0.8854706390328152
23,Non-breeding,0,0.9539075993091537,0.8786701208981003,0.9583333333333334,0.4119170984455959,0.6210526315789474,0.028065630397236616,-0.9550949913644214,-0.9550949913644214,0.32070379965457685,-0.6947368421052632,0.8266407599309153
23,Breeding,0,0.8754317789291883,0.17508635578583767,0.7480569948186528,0.5433937823834197,0.6000000000000001,-0.3086139896373057,-0.989961139896373,-0.989961139896373,0.3475820379965458,-0.9368421052631579,0.8266407599309153
23,Total,0,0.924006908462867,0.6559801381692574,0.9436528497409326,0.47463298791019004,0.7052631578947369,-0.006044905008635579,-0.9820811744386874,-0.9820811744386874,0.05850604490500864,-0.6631578947368422,0.8266407599309153
24,Non-breeding,0,0.9183937823834196,0.7518350604490501,0.9300518134715026,-0.47279792746113997,0.5789473684210527,0.7977115716753023,-0.8036485319516408,-0.8036485319516408,-0.25313039723661485,-0.052631578947368425,0.5197538860103627
24,Breeding,0,0.893350604490501,0.7457901554404145,0.195919689119171,-0.030332469775474956,0.11578947368421053,0.30094991364421414,-0.9773316062176166,-0.9773316062176166,0.6441062176165803,-0.9157894736842106,0.5197538860103627
24,Total,0,0.9643782383419689,0.7765544041450777,0.601252158894646,-0.34132124352331605,0.4842105263157895,0.6797279792746115,-0.9304835924006908,-0.9304835924006908,0.27925302245250433,-0.5894736842105264,0.5197538860103627
25,Non-breeding,0,0.9553108808290155,0.8271804835924007,0.9853195164075994,0.550518134715026,0.8105263157894737,0.4802461139896373,-0.9427892918825561,-0.9427892918825561,0.2158894645941278,0.2105263157894737,0.8921632124352332
25,Breeding,0,0.8398100172711571,0.6804835924006908,0.7471934369602764,0.6678540587219344,0.7263157894736842,-0.028821243523316064,-0.977871329879102,-0.977871329879102,0.2285189982728843,-0.7894736842105264,0.8921632124352332
25,Total,0,0.966213298791019,0.8704663212435234,0.9688039723661486,0.7016407599309153,0.7473684210526316,0.41256476683937826,-0.9394430051813472,-0.9394430051813472,-0.09952504317789292,-0.0736842105263158,0.8921632124352332
26,Non-breeding,0,0.9360967184801382,0.9274611398963731,0.9706390328151986,0.4640544041450777,0.7578947368421053,0.21794041450777205,-0.878346286701209,-0.878346286701209,-0.1731433506044905,0.4421052631578947,0.7569084628670122
26,Breeding,0,0.8685233160621761,0.8449913644214163,0.7704015544041452,0.7462219343696028,0.6842105263157895,0.46513385146804836,-0.9911485319516408,-0.9911485319516408,0.060125215889464595,-0.7473684210526316,0.7569084628670122
26,Total,0,0.954447322970639,0.9269214162348878,0.9625431778929189,0.7495682210708118,0.7052631578947369,0.4625431778929188,-0.9680483592400692,-0.9680483592400692,-0.3338730569948187,-0.3263157894736842,0.7569084628670122
27,Non-breeding,0,0.6897668393782384,0.5998488773747842,0.9467832469775475,-0.17087651122625216,-0.052631578947368425,-0.05872193436960277,-0.9317789291882557,-0.9317789291882557,0.5249352331606219,-0.8421052631578948,0.34034974093264253
27,Breeding,0,0.6767055267702936,0.25852763385146804,0.6528497409326426,0.45196459412780654,0.3368421052631579,0.16504749568221072,-0.9880181347150259,-0.9880181347150259,0.16753022452504318,-0.8631578947368421,0.34034974093264253
27,Total,0,0.915695164075993,0.7193436960276339,0.8636658031088084,0.28670120898100176,0.052631578947368425,0.3430483592400691,-0.9571459412780656,-0.9571459412780656,0.03594559585492228,-0.6947368421052632,0.34034974093264253
28,Non-breeding,0,0.9492659758203801,0.8334412780656304,0.9400906735751295,0.7779576856649396,0.7999999999999999,0.22247409326424872,-0.8840673575129534,-0.8840673575129534,-0.39993523316062174,0.4105263157894737,0.9412780656303973
28,Breeding,0,0.9363126079447323,0.7815198618307426,0.8099093264248706,0.8378670120898101,0.8842105263157894,0.6043825561312608,-0.9813255613126081,-0.9813255613126081,0.6926813471502591,-0.8526315789473685,0.9412780656303973
28,Total,0,0.9739853195164077,0.9023100172711572,0.9692357512953368,0.9046848013816926,0.8736842105263158,0.7574481865284974,-0.8903281519861831,-0.8903281519861831,-0.2598229706390328,0.3473684210526316,0.9412780656303973
29,Non-breeding,0,0.9416018998272886,0.7905872193436961,0.9540155440414508,-0.6204663212435234,0.7263157894736842,0.6054620034542314,-0.9004749568221072,-0.9004749568221072,-0.5515975820379966,0.010526315789473684,0.6727115716753023
29,Breeding,0,0.901986183074266,0.7063903281519862,0.8643134715025907,0.4375,0.6421052631578947,0.7088730569948187,-0.9819732297063904,-0.9819732297063904,-0.2781735751295337,-0.6526315789473685,0.6727115716753023
29,Total,0,0.9548791018998274,0.906951640759931,0.9201208981001727,-0.18965889464594127,0.768421052631579,0.7949050086355786,-0.9475388601036271,-0.9475388601036271,-0.10233160621761658,-0.28421052631578947,0.6727115716753023
30,Non-breeding,0,0.9519645941278065,0.8317141623488774,0.9730138169257341,0.4300518134715026,0.8736842105263158,0.6268350604490501,-0.6447538860103628,-0.6447538860103628,-0.7247409326424871,0.8210526315789474,0.9212003454231434
30,Breeding,0,0.9431131260794473,0.6914939550949915,0.6593264248704663,0.13395941278065632,0.7368421052631579,0.440846286701209,-0.9812176165803108,-0.9812176165803108,-0.5158678756476685,-0.7473684210526316,0.9212003454231434
30,Total,0,0.9800302245250431,0.9409542314335061,0.9113773747841106,0.10977979274611399,0.7473684210526316,0.39669689119170987,-0.8760794473229706,-0.8760794473229706,-0.820811744386874,0.3684210526315789,0.9212003454231434
31,Non-breeding,0,0.9580094991364422,0.5646588946459413,0.9854274611398963,0.4828367875647669,0.8736842105263158,0.7427677029360967,-0.7930699481865285,-0.7930699481865285,0.5589378238341969,0.7473684210526316,0.9119170984455959
31,Breeding,0,0.888385146804836,0.7029360967184801,0.8863341968911918,0.40274179620034545,0.6736842105263158,0.6837219343696028,-0.9727979274611399,-0.9727979274611399,0.5778281519861831,-0.8526315789473685,0.9119170984455959
31,Total,0,0.9601683937823834,0.873380829015544,0.9776554404145078,0.03475820379965457,0.8947368421052632,0.8286917098445596,-0.9084628670120898,-0.9084628670120898,0.7944732297063903,0.5894736842105264,0.9119170984455959
32,Non-breeding,0,0.9550949913644214,0.8959412780656304,0.9604922279792746,-0.5895941278065631,0.7157894736842105,0.5377806563039723,-0.7180483592400692,-0.7180483592400692,-0.341213298791019,0.5368421052631579,0.7912348877374784
32,Breeding,0,0.8547063903281521,0.667206390328152,0.7629533678756477,-0.18339810017271158,0.35789473684210527,0.6173359240069085,-0.9788428324697755,-0.9788428324697755,-0.5297927461139897,-0.8315789473684211,0.7912348877374784
32,Total,0,0.9671848013816927,0.7564766839378239,0.9093264248704663,-0.538860103626943,0.7578947368421053,0.6243523316062176,-0.9039291882556131,-0.9039291882556131,-0.7234455958549223,-0.2947368421052632,0.7912348877374784
33,Non-breeding,0,0.9134283246977547,0.7749352331606219,0.9894214162348877,-0.11582469775474957,0.8210526315789474,0.6815630397236615,-0.8779145077720207,-0.8779145077720207,0.5403713298791019,0.5368421052631579,0.8626943005181347
33,Breeding,0,0.927245250431779,0.48445595854922285,0.6927892918825562,0.4421416234887737,0.768421052631579,0.4980569948186529,-0.9838082901554405,-0.9838082901554405,0.7487046632124352,-0.8315789473684211,0.8626943005181347
33,Total,0,0.9729058721934369,0.9081390328151987,0.9676165803108808,0.3890328151986183,0.8526315789473685,0.8270725388601037,-0.9632987910189983,-0.9632987910189983,0.7149179620034543,0.12631578947368421,0.8626943005181347
34,Non-breeding,0,0.7879965457685665,-0.17994386873920554,0.967724525043178,0.3424006908462867,0.3368421052631579,-0.231433506044905,-0.9599525043177893,-0.9599525043177893,-0.13784542314335063,-0.6526315789473685,0.6291018998272885
34,Breeding,0,0.572754749568221,0.5357297063903282,0.461139896373057,0.5235319516407599,0.4631578947368421,-0.007664075993091537,-0.9843480138169257,-0.9843480138169257,-0.2616580310880829,-0.9052631578947369,0.6291018998272885
34,Total,0,0.8182210708117443,0.6109671848013817,0.9192573402417962,0.14842400690846289,0.6421052631578947,-0.12208549222797928,-0.9678324697754749,-0.9678324697754749,-0.07599309153713299,-0.6736842105263158,0.6291018998272885
35,Non-breeding,0,0.9562823834196892,0.8782383419689119,0.9789507772020726,0.16483160621761658,0.7999999999999999,0.7743955094991365,-0.7856217616580311,-0.7856217616580311,0.10632556131260794,0.4631578947368421,0.9075993091537133
35,Breeding,0,0.937607944732297,0.12122193436960275,0.6409758203799655,-0.27946891191709844,0.7894736842105264,-0.3370034542314335,-0.986183074265976,-0.986183074265976,0.009067357512953367,-0.8210526315789474,0.9075993091537133
