,rb,rnb,x_equi,y_equi
297,0.7000000000000001,-0.8499999999999999,3.9835644278905363e-25,1.702634918860202e-25
298,0.7000000000000001,-0.7999999999999998,1.3141877985110746e-16,5.905026421604732e-17
299,0.7000000000000001,-0.7499999999999998,3.279140848397359e-08,1.5489564584081222e-08
300,0.7000000000000001,-0.6999999999999997,0.831212770491621,0.4120824200665189
301,0.7000000000000001,-0.6499999999999997,16.61144080350585,8.388559232791078
302,0.7000000000000001,-0.5999999999999996,33.031041689268804,16.96895831073146
303,0.7000000000000001,-0.5499999999999996,49.25044206504679,25.749557934953454
304,0.7000000000000001,-0.49999999999999956,65.26077108912592,34.73922891087442
305,0.7000000000000001,-0.4499999999999995,81.0526102023088,43.9473897976915
306,0.7000000000000001,-0.39999999999999947,96.61595261242215,53.38404738757816
307,0.7000000000000001,-0.3499999999999994,111.94015973885946,63.0598402611409
308,0.7000000000000001,-0.2999999999999994,127.01391444594503,72.98608555405532
309,0.7000000000000001,-0.24999999999999933,141.82517094570872,83.17482905429168
310,0.7000000000000001,-0.1999999999999993,156.36110129287266,93.6388987071278
311,0.7000000000000001,-0.14999999999999925,170.60803845672586,104.39196154327459
312,0.7000000000000001,-0.0999999999999992,184.55141604234075,115.44858395765979
313,0.7000000000000001,-0.049999999999999156,198.17570485524158,126.8242951447589
314,0.7000000000000001,8.881784197001252e-16,211.4643466692738,138.53565333072672
315,0.75,-1.0,2.804588431880321e-42,1.0317504250360242e-42
316,0.75,-0.95,1.0987143341589189e-33,4.2491790607675115e-34
317,0.75,-0.8999999999999999,4.0529854069924332e-25,1.6478208978545273e-25
318,0.75,-0.8499999999999999,1.3365795402002816e-16,5.712740532187638e-17
319,0.75,-0.7999999999999998,3.3337715685901495e-08,1.49796012541818e-08
320,0.75,-0.7499999999999998,0.8448871802717988,0.3984226313169628
321,0.75,-0.6999999999999997,16.890864973467938,8.109135062716026
322,0.75,-0.6499999999999997,33.59949590092667,16.40050409907362
323,0.75,-0.5999999999999996,50.118007318049145,24.881992681951093
324,0.75,-0.5499999999999996,66.43803016845365,33.5619698315466
325,0.75,-0.49999999999999956,82.55067542694121,42.44932457305904
326,0.75,-0.4499999999999995,98.44649455613023,51.55350544386998
327,0.75,-0.39999999999999947,114.11543674765474,60.884563252345586
328,0.75,-0.3499999999999994,129.54680270089793,70.4531972991024
329,0.75,-0.2999999999999994,144.72919472324799,80.27080527675231
330,0.75,-0.24999999999999933,159.6504629516558,90.34953704834446
331,0.75,-0.1999999999999993,174.29764752421687,100.70235247578351
332,0.75,-0.14999999999999925,188.65691657737298,111.34308342262739
333,0.75,-0.0999999999999992,202.71350001540955,122.28649998459089
334,0.75,-0.049999999999999156,216.45161910235024,133.5483808976502
335,0.75,8.881784197001252e-16,229.85441207266902,145.1455879273315
336,0.8,-1.0,1.1173408138928593e-33,4.110467142129496e-34
337,0.8,-0.95,4.120411051030263e-25,1.593531986928681e-25
338,0.8,-0.8999999999999999,1.3583821765468315e-16,5.522769793163398e-17
339,0.8,-0.8499999999999999,3.387144825578234e-08,1.4477162750269301e-08
340,0.8,-0.7999999999999998,0.858312741341044,0.3850033008889783
341,0.8,-0.7499999999999998,17.165317867692174,7.834682168368267
342,0.8,-0.6999999999999997,34.157821035698056,15.842178964302207
343,0.8,-0.6499999999999997,50.970098345321034,24.029901654679204
344,0.8,-0.5999999999999996,67.59428335240099,32.40571664759935
345,0.8,-0.5499999999999996,84.02201947270373,40.97798052729654
