Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
45,Breeding,0,0.813987799687899,0.9593701234217621,-0.9934742516669033,-0.9743589743589742,0.25641025641025633,0.7798269258050788,-0.9934742516669033,-0.611519364448858,0.2596396652007377,-0.07692307692307691,0.378862249964534,0.34405409863104075
46,Non-breeding,0,0.6826783940984538,0.9633990636969784,-0.9902964959568734,-0.9743589743589742,0.30769230769230765,0.8103560788764365,-0.9902964959568734,0.671329266562633,-0.32506738544474395,-0.10256410256410255,0.20550432685487305,-0.031052734170002847
46,Breeding,0,0.618045112781955,0.9414385019151653,-0.9937579798552987,-0.8974358974358972,0.5128205128205127,0.5821818697687616,-0.9937579798552987,-0.057227975599375806,0.5954603489856718,0.05128205128205127,0.4983118172790468,-0.031052734170002847
47,Non-breeding,0,0.2889771598808342,0.9380337636544193,-0.9806497375514258,-0.9230769230769229,-0.025641025641025637,0.5876294509859555,-0.9806497375514258,0.4659100581642787,-0.6145836288835297,-0.5384615384615383,-0.04213363597673429,-0.5990133897110641
47,Breeding,0,-0.45870336217903257,0.8947935877429424,-0.9951766207972763,-0.9999999999999998,0.3846153846153845,0.5906937154206271,-0.9951766207972763,0.3731309405589446,-0.19608455100014185,-0.7948717948717947,-0.38436657681940706,-0.5990133897110641
48,Non-breeding,0,0.565952617392538,0.9741239892183289,-0.9893885657540077,-0.9743589743589742,0.5897435897435896,0.7331820116328557,-0.9893885657540077,-0.17418073485600796,-0.13565044687189673,0.07692307692307691,0.44621932188962976,-0.17965903468130087
48,Breeding,0,0.5082423038728898,0.9544899985813591,-0.9929635409277913,-0.9487179487179485,0.4871794871794871,0.7109944673003263,-0.9929635409277913,-0.3957724499929068,0.29941835721378923,-0.3589743589743589,0.04043126684636119,-0.17965903468130087
49,Non-breeding,0,0.8130798694850334,0.9607887643637396,-0.9838842388991348,-0.9999999999999998,-0.30769230769230765,0.15409277911760536,-0.9838842388991348,-0.17480493687047813,0.5816711590296497,-0.6153846153846153,0.031578947368421054,-0.06363486422862968
49,Breeding,0,0.6027805362462761,0.9367853596254788,-0.9938147254929778,-0.9999999999999998,-0.46153846153846145,0.4779968789899277,-0.9938147254929778,-0.07453539509150235,-0.08991346290253939,-0.8205128205128204,0.3256915874592141,-0.06363486422862968
50,Non-breeding,0,0.8859412682650022,0.9622074053057172,-0.9875727053482765,-0.9230769230769229,0.5897435897435896,0.5395658958717549,-0.9875727053482765,-0.8587033621790325,0.2924953894169386,-0.07692307692307691,0.5279897857852178,-0.4313046346693056
50,Breeding,0,0.8721520783089801,0.8322598950205703,-0.9913746630727763,-0.9743589743589742,0.6410256410256409,-0.4771456944247412,-0.9913746630727763,-0.10915023407575543,0.4777698964392113,-0.25641025641025633,-0.03861540644062988,-0.4313046346693056
51,Non-breeding,0,0.6983969357355654,0.9696410838416798,-0.9473967938714712,-0.10256410256410255,0.7435897435897434,0.9129521918002556,-0.9473967938714712,0.27376932898283446,-0.5270818555823522,0.6153846153846153,0.7949212654277202,-0.08765537612643005
