Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Standard deviation,Smax/Var,Skewness,Lag-1 AC,Lag-3 AC,Variance,Smax,Cross correlation
18,Non-breeding,0,0.9961143828547144,0.8780887620666628,-0.5813247525954708,0.572460688482788,0.7426900584795321,0.7428207151964059,0.9426871471070367,0.8689818468823995,0.572460688482788,0.871345029239766,0.8662526594215398
18,Breeding,0,0.9729895641497852,0.9583793738489872,-0.09023941068139964,-0.92719459791283,0.6608187134502924,-0.07771639042357276,0.9484346224677717,0.9195825659914059,-0.92719459791283,-0.5906432748538012,0.8657367044463817
18,Total,0,0.9905288082083663,0.9496084026470768,-0.6832007771234291,0.08202294942626435,0.7192982456140351,-0.47313460020642345,0.9708578714103577,0.9232590613806084,0.08202294942626435,0.8245614035087718,0.8662526594215398
19,Non-breeding,0,0.9774241806065552,0.8752889976880186,-0.5091799265605875,0.7618659050727594,0.6339869281045752,0.4720522235822114,0.9290085679314566,0.8518971848225215,0.7618659050727594,0.7908496732026145,0.5747303543913713
19,Breeding,0,0.9633986928104576,0.8534571723426213,-0.265359477124183,-0.9764705882352942,0.4901960784313726,-0.36979704162366706,0.8950120399036808,0.5265221878224975,-0.9764705882352942,-0.9084967320261439,0.5671428571428572
19,Total,0,0.9586563307493541,0.9052087583299334,-0.5528355773153816,-0.16088671290629677,0.5686274509803922,-0.47178022575819395,0.9487284101727187,0.758873929008568,-0.16088671290629677,0.607843137254902,0.5747303543913713
20,Non-breeding,0,0.9968260013965594,0.7771852980384689,-0.4915254237288136,0.8162889608328573,0.5555555555555556,0.23582809623563766,0.9179838760870946,0.7026598108296833,0.8162889608328573,0.8562091503267976,0.8654897015552754
20,Breeding,0,0.9817668207498715,0.7607858243451464,0.7312532100667694,-0.9491525423728814,0.7385620915032681,0.5055213148433487,0.9378531073446328,0.3574730354391371,-0.9491525423728814,-0.22875816993464054,0.8642462509865826
20,Total,0,0.9950485621786328,0.8495524661969149,0.451152161493049,0.4305846505427538,0.5294117647058824,-0.3098457436678728,0.95670665904907,0.6323240017774393,0.4305846505427538,0.6470588235294119,0.8654897015552754
21,Non-breeding,0,0.9945864182787996,0.8170527824217817,-0.4102380383727411,0.6919035108669692,0.5499999999999999,0.04036302842130404,0.9383807021733939,0.739033516439774,0.6919035108669692,0.8333333333333333,0.7358970522220559
21,Breeding,0,0.9364669837942433,0.7245827622349432,-0.21454486817705395,-0.9700072563089576,0.7166666666666667,-0.21857615093122632,0.8331048939772636,0.2537289365476095,-0.9700072563089576,-0.38333333333333336,0.7311217147617964
21,Total,0,0.9761165512299976,0.8586099832815859,-0.3061062017355306,-0.4245681076347425,0.6666666666666667,-0.249900485630125,0.9570097922139957,0.6349016798025635,-0.4245681076347425,0.26666666666666666,0.7358970522220559
22,Non-breeding,0,0.9584780810587262,0.8550868486352358,0.2939619520264682,0.7047146401985113,0.48333333333333334,0.28238213399503725,0.68767576509512,0.8502894954507858,0.7047146401985113,0.9333333333333332,0.1388198757763975
22,Breeding,0,0.9445328864683703,0.6504398826979471,0.4548806032677,-0.8850439882697947,0.6333333333333333,0.5197318810222036,0.7047339757017176,0.5158776707163804,-0.8850439882697947,-0.06666666666666667,0.1279874213836478
22,Total,0,0.8674937965260546,0.8527708850289495,0.22282878411910673,0.011579818031430935,0.7833333333333333,0.5528535980148883,0.9526881720430108,0.8471464019851117,0.011579818031430935,0.5333333333333333,0.1388198757763975
23,Non-breeding,0,0.9918333033087132,0.9172521467603435,0.034288116255329376,0.2802498048399688,0.7894736842105262,0.6009127484537321,0.9267399267399269,0.9135290938569628,0.2802498048399688,0.7777777777777777,0.7667538969166003
23,Breeding,0,0.9822718717746343,0.9157306781616176,0.49875538825815074,-0.9775362758788174,0.6959064327485379,0.7627345030659949,0.9035881245825998,0.9080808694068364,-0.9775362758788174,-0.4502923976608187,0.7641308722902651
23,Total,0,0.9858283792710023,0.9419924337957126,0.07283972857743351,-0.7509157509157509,0.7777777777777777,0.6302167777577614,0.9646910466582599,0.9228967753557918,-0.7509157509157509,0.6491228070175439,0.7667538969166003
24,Non-breeding,0,0.9939168218497827,0.8160148975791434,-0.600869025450031,0.611421477343265,0.7777777777777779,0.1749224084419615,0.9032898820608317,0.7155803848541278,0.611421477343265,0.7647058823529412,0.699764982373678
24,Breeding,0,0.961082166844517,0.7577051032577993,0.5269600150649676,-0.951917644843387,0.8692810457516341,0.6094407130751365,0.7707614085744775,0.7472851672839118,-0.951917644843387,-0.4509803921568628,0.6969588976003802
24,Total,0,0.9726877715704532,0.8165114835505897,-0.04941030415890751,-0.15481067659838607,0.803921568627451,-0.05971446306641837,0.950713842333954,0.7432650527622594,-0.15481067659838607,0.5163398692810458,0.699764982373678
25,Non-breeding,0,0.9772818927275172,0.8702782632074203,-0.08939373571716629,0.7070842855222477,0.8300653594771243,0.6318053501814761,0.9174620244656541,0.6995563919881704,0.7070842855222477,0.8431372549019609,0.7740112994350283
25,Breeding,0,0.9612403100775195,0.8958248334013329,0.7290901672786618,-0.9775601795185639,0.8692810457516341,0.9286005711954305,0.8883448932408541,0.30436556507547946,-0.9775601795185639,-0.6601307189542485,0.7714432460195171
25,Total,0,0.9291571447775239,0.9346686382578304,0.6624546309987902,-0.4862212662992338,0.8169934640522877,0.8178518618093831,0.9638392257023793,0.6511627906976745,-0.4862212662992338,0.803921568627451,0.7740112994350283
26,Non-breeding,0,0.9945652173913043,0.8200310559006211,0.2184782608695652,0.8976708074534161,0.4705882352941176,0.7111801242236024,0.7746894409937888,0.8177018633540373,0.8976708074534161,0.7058823529411764,0.669952537422417
26,Breeding,0,0.9794025157232704,0.7764150943396226,0.7183962264150944,-0.9259433962264151,0.5,0.9067610062893082,0.7902515723270441,0.9072327044025157,-0.9259433962264151,-0.03333333333333333,0.6665188470066519
26,Total,0,0.9690993788819876,0.9017080745341615,0.543944099378882,0.40108695652173915,0.5147058823529411,0.8635093167701864,0.9372670807453416,0.8829192546583852,0.40108695652173915,0.588235294117647,0.669952537422417
27,Non-breeding,0,0.9959392924217045,0.8857925993604386,-0.2953657174762703,0.5842850616719965,0.5263157894736842,0.48794477437693523,0.9384802801888231,0.6523019136084464,0.5842850616719965,0.5894736842105264,0.8889210856756498
27,Breeding,0,0.986361072655489,0.9216530790134851,0.831410552222735,-0.9447264523406655,0.7157894736842105,0.581295185356099,0.9229862072501667,0.7004563400502487,-0.9447264523406655,-0.010526315789473684,0.892113349265961
27,Total,0,0.9931983148063551,0.9152327293030813,0.2841987716359576,0.21313638901578602,0.5684210526315789,0.16014415511902952,0.9484290137556471,0.8336125069793413,0.21313638901578602,0.4736842105263158,0.8889210856756498
28,Non-breeding,0,0.9974699557242253,0.8848829854522454,0.35541371974009545,0.6559139784946237,0.8362573099415204,-0.3850842389741821,0.9480190903340808,0.7427404979587142,0.6559139784946237,0.8830409356725145,0.7581806282722514
