Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.3,49.414901294857735,49.43206149148452,-0.01716019662678292,0.17570817840686723,0.03087336395905948,0.8190235919473846,0.6431417031594178,0.4925834196140822,0.0035706696632167067,0.08424592306970413,0.3955779318485962,4.2809273422240855e-07,0.9999995719072657,5.695725468200026e-23,0.0032885323729279826,"{'sigma': 0.07824542409380339, 'lam': -0.42496750559261187}","{'sigma': 0.0271953472909372, 'mu': -0.07426457673000586, 'w0': 0.21941529508121035, 'delta': 2.84442469578039e-10, 'psi': 0.2}",{'sigma': 0.07743944499785653},0.006577064745855965,0.21303362842408988,0.7732468689166564
0.31,50.94475413004476,50.95578241070519,-0.011028280660433154,0.1597582445067319,0.025522696687872732,0.7660394170601138,0.5357659649691828,0.3645556003030871,0.0031305747787936477,0.16738570970028427,-0.19772196885697252,0.9999999999371747,6.282535426637321e-11,2.3550601904737167e-18,0.002525633379491449,"{'sigma': 0.080249125852764, 'lam': -0.4801801013837914}","{'sigma': 0.03058798941903107, 'mu': -0.11795363631875588, 'w0': 0.3484949766102995, 'delta': 6.095317583998394e-10, 'psi': 0.2}",{'sigma': 0.07454054698654729},0.005051266758982898,0.1979127370730789,0.712829946811487
0.32,52.681829169105946,52.767673519972206,-0.0858443508662603,0.15286950751178785,0.023369086326896563,0.7724509061034982,0.555935968044924,0.3899173349811374,0.002894920950262013,0.03517333741348911,0.005503782754737375,0.9999999998809093,1.1909079710081283e-10,4.43586652244674e-18,0.0023642794943885773,"{'sigma': 0.07641734362440877, 'lam': -0.47234024985729084}","{'sigma': 0.028856475145577987, 'mu': -0.11561257787611634, 'w0': 0.34157830046470583, 'delta': 6.364244686807297e-10, 'psi': 0.2}",{'sigma': 0.07156679618878457},0.004728558988777155,0.20234248453842363,0.6995085799320051
0.33,54.73057456526328,54.72180210965095,0.008772455612330532,0.16375102401089275,0.02681439786461598,0.8012673955684946,0.5843258741352055,0.42967203001627413,0.0030030946896879916,0.15865596862936387,-0.2107982204429054,2.208782458492888e-08,0.9999999779121753,1.396097484770957e-23,0.0029237776233733198,"{'sigma': 0.08019516025234816, 'lam': -0.45519713332746603}","{'sigma': 0.027496287955741217, 'mu': -0.07708556146888412, 'w0': 0.22774991714448287, 'delta': 3.715561192052519e-11, 'psi': 0.2}",{'sigma': 0.07572827089810526},0.0058475552467466396,0.2180752025934178,0.7314190360048951
0.34,56.188122752708395,56.307104372380614,-0.1189816196722191,0.16411066607759123,0.02693231072043065,0.8031675503389762,0.6093930782968903,0.45540056589990796,0.002915834554386251,0.1858004549508114,0.024547668128546096,0.04764681388983258,0.9523531861101674,5.292530407824676e-21,0.0027324454558248184,"{'sigma': 0.0763340064556005, 'lam': -0.43703004547884605}","{'sigma': 0.02633307483919145, 'mu': -0.07636523659589423, 'w0': 0.22562171382570673, 'delta': 2.402916310373371e-09, 'psi': 0.2}",{'sigma': 0.07427249691257061},0.005464890911649637,0.202912069758055,0.7124087367451817
0.35000000000000003,58.20784991138686,58.11654835310215,0.09130155828471231,0.16254073348850612,0.02641949004298157,0.7758972168572127,0.5591876780778395,0.40742443690913127,0.0028018366506929707,-0.08457804363076765,0.2667700300802368,0.999999960344041,3.9655957957493333e-08,8.701130348891499e-16,0.0027004340395171953,"{'sigma': 0.08233543098899333, 'lam': -0.48806743613123116}","{'sigma': 0.03186624980861308, 'mu': -0.11992987597132254, 'w0': 0.3543337920976734, 'delta': 1.1319833959078096e-12, 'psi': 0.2}",{'sigma': 0.0752870990777783},0.005400868079034391,0.20442741590574912,0.7018811058958226
0.36,59.609790817811174,59.64902519848262,-0.039234380671445024,0.15192531107134796,0.023081300144125842,0.7636083016983627,0.5370720918637578,0.3677061887910583,0.0025443502856645284,-0.12622995850552646,0.6236772063314361,0.9999999999994396,5.604791182282317e-13,9.069313266851868e-20,0.002371903945810378,"{'sigma': 0.07521837096865848, 'lam': -0.4602208991364103}","{'sigma': 0.028916948455682823, 'mu': -0.11660710958128262, 'w0': 0.34451665198724113, 'delta': 1.6286438864199226e-10, 'psi': 0.2}",{'sigma': 0.07181442622675363},0.004743807891620756,0.2055260259170473,0.7064630518045572
0.37,61.75287926090282,61.353805033485486,0.3990742274173371,0.16485525151943484,0.027177253953536123,0.7936563253993033,0.5794225254193581,0.3956142788047056,0.002683869989457344,-0.07623076265718066,0.22317213769283684,0.9999999991211452,8.788548330619164e-10,9.671534347374767e-18,0.002396901687425234,"{'sigma': 0.08282869645332137, 'lam': -0.5121462440422264}","{'sigma': 0.03140165605938616, 'mu': -0.12201414490808205, 'w0': 0.36049178166641743, 'delta': 7.701927984271606e-11, 'psi': 0.2}",{'sigma': 0.0735374610736477},0.004793803374850468,0.1763902778053384,0.7189180545076151
0.38,63.173020100821645,63.18309905040481,-0.010078949583167685,0.1477400928663445,0.0218271350401561,0.7373494818717125,0.4695600479997914,0.2815467748752894,0.0023426065265165514,0.03509789365898634,0.051400688515964604,0.9999998461226681,1.5387733188615452e-07,3.989835835602629e-18,0.0018375273703687895,"{'sigma': 0.08234779747274901, 'lam': -0.5660357487239502}","{'sigma': 0.029025515413109826, 'mu': -0.11973177429899229, 'w0': 0.3537484992222091, 'delta': 1.2467182841646718e-10, 'psi': 0.2}",{'sigma': 0.06978309492445497},0.003675054740737579,0.16837091693327866,0.6643067418387513
0.39,65.00758772963424,64.79535837432508,0.21222935530916232,0.16867982679760085,0.02845288396846862,0.8071190502559046,0.5992356019774431,0.44011434182127124,0.002605819355492329,0.07766301741580107,-0.2932019152859367,1.7861378074434835e-08,0.999999982138622,2.3290252974510355e-21,0.002903612379700536,"{'sigma': 0.08479848482619527, 'lam': -0.48710925371479163}","{'sigma': 0.028204564015407607, 'mu': -0.07854616665412495, 'w0': 0.2320652892113859, 'delta': 2.2276984701363745e-09, 'psi': 0.2}",{'sigma': 0.07675900686606787},0.005807224759401072,0.20409968865850706,0.7270689522420617
0.4,66.40131558411446,66.43867607625866,-0.03736049214420234,0.15101532921505426,0.022805629657931217,0.7661898970712177,0.5618782071386466,0.40952794471477905,0.002276017020490381,-0.08431111501069347,0.382856302844891,0.9999999947991618,5.200837324560363e-09,8.985988013615245e-16,0.002165356847315236,"{'sigma': 0.07583076066434394, 'lam': -0.5088357283167206}","{'sigma': 0.028903055533699318, 'mu': -0.1227803231904212, 'w0': 0.36275546164573685, 'delta': 1.0166112396348126e-10, 'psi': 0.2}",{'sigma': 0.06818999587583856},0.004330713694630472,0.1898966947893219,0.6785699523229144
0.41000000000000003,68.1344592559152,68.01958137576595,0.11487788014925115,0.15962455225614497,0.025479997682974754,0.7800270553831599,0.5646256978825994,0.40097181137715554,0.0023487241709035985,0.016365465116614363,-0.16350280077253504,0.00025681413209140656,0.9997431858679086,1.824731451629059e-18,0.002519019436671987,"{'sigma': 0.07893495790048392, 'lam': -0.4963431898280528}","{'sigma': 0.025011577287776365, 'mu': -0.07641152320351052, 'w0': 0.22575846571796646, 'delta': 1.3723888692140918e-10, 'psi': 0.2}",{'sigma': 0.07192160828670113},0.005038038873343974,0.19772524848816198,0.6956712797419613
0.42,69.68477652996701,69.58884306860628,0.09593346136072967,0.1540292891697447,0.02372502192213683,0.7630906135073684,0.5418628528670143,0.38291909288364173,0.002214549251288465,-0.022270635902719545,-0.2039651305849883,0.9999999993580007,6.419994033089865e-10,7.370576764429157e-19,0.0020855434031044834,"{'sigma': 0.07941617997841999, 'lam': -0.5141875644841014}","{'sigma': 0.030498757156221856, 'mu': -0.12314261630791146, 'w0': 0.36382585950311164, 'delta': 2.4709123636057484e-12, 'psi': 0.2}",{'sigma': 0.07081820408287719},0.004171086806208967,0.1758096080963828,0.671465616770778
