,Time,Non-breeding,Breeding,rnb
5,986,2.684236464875153e-63,2.4595573872898137e-64,-2.39
6,987,2.3103437359290437e-63,2.1169606617155177e-64,-2.39
7,988,1.9885312817977952e-63,1.8220849273166145e-64,-2.39
8,989,1.7115447356141065e-63,1.568283030665282e-64,-2.39
9,990,1.4731402059513782e-63,1.3498337137856715e-64,-2.39
10,991,1.2679435256548037e-63,1.1618126443027861e-64,-2.39
11,992,1.0913291061875995e-63,9.999814100628965e-65,-2.39
12,993,9.393156666004959e-64,8.606919759179117e-65,-2.39
13,994,8.08476486624067e-64,7.408044489175903e-65,-2.39
14,995,6.95862160789441e-64,6.376162981545392e-65,-2.39
15,996,5.98934112283848e-64,5.4880143372022975e-65,-2.39
16,997,5.155073677957691e-64,4.7235777147650945e-65,-2.39
17,998,4.437013033677045e-64,4.065621016361964e-65,-2.39
18,999,3.818972509587777e-64,3.499312437904093e-65,-2.39
19,1000,3.28702010075022e-64,3.0118861273074678e-65,-2.39
0,981,9.731495656549552e-59,9.006555430530584e-60,-2.38
1,982,8.460155891769064e-59,7.829923136107602e-60,-2.38
2,983,7.354906197267166e-59,6.807008160914791e-60,-2.38
3,984,6.394048273179927e-59,5.917728603118155e-60,-2.38
4,985,5.558718523826485e-59,5.144626095975841e-60,-2.38
5,986,4.832517726952449e-59,4.472523064584206e-60,-2.38
6,987,4.201189083636831e-59,3.8882247592073864e-60,-2.38
7,988,3.6523383283272427e-59,3.3802602154984813e-60,-2.38
8,989,3.175190404193997e-59,2.9386570561345476e-60,-2.38
9,990,2.760377926845315e-59,2.554745712763381e-60,-2.38
10,991,2.399757283516058e-59,2.220989224740638e-60,-2.38
11,992,2.086248757382953e-59,1.9308352732602835e-60,-2.38
12,993,1.8136975383213958e-59,1.6785875460073316e-60,-2.38
13,994,1.5767528914622472e-59,1.4592939069593462e-60,-2.38
14,995,1.3707631113815846e-59,1.2686491758824068e-60,-2.38
15,996,1.1916841996604714e-59,1.1029106088852787e-60,-2.38
16,997,1.036000472969466e-59,9.588244207431287e-61,-2.38
17,998,9.006555430530635e-60,8.335619064745287e-61,-2.38
18,999,7.829923136107647e-60,7.24663908108361e-61,-2.38
19,1000,6.807008160914831e-60,6.299925364102874e-61,-2.38
0,981,1.658669718115479e-54,1.550536499048575e-55,-2.37
1,982,1.4564703008834978e-54,1.361519015290117e-55,-2.37
2,983,1.2789199164772947e-54,1.1955436264377138e-55,-2.37
3,984,1.1230137351720184e-54,1.049801395841155e-55,-2.37
4,985,9.861132297155829e-55,9.218258090621459e-56,-2.37
5,986,8.659015213835712e-55,8.094510310421201e-56,-2.37
6,987,7.603441695540767e-55,7.107752519120232e-56,-2.37
7,988,6.676547412125235e-55,6.2412850111535865e-56,-2.37
8,989,5.862645776911667e-55,5.480443851366949e-56,-2.37
9,990,5.1479624698118596e-55,4.812352705302002e-56,-2.37
10,991,4.520402323292322e-55,4.225704922503891e-56,-2.37
11,992,3.969344626005678e-55,3.7105721848691913e-56,-2.37
12,993,3.4854633798446704e-55,3.2582364816345615e-56,-2.37
13,994,3.0605694684825425e-55,2.8610425673819944e-56,-2.37
14,995,2.6874720662894917e-55,2.5122684060873615e-56,-2.37
15,996,2.3598569421354427e-55,2.206011408631394e-56,-2.37
16,997,2.0721795985153e-55,1.9370885384778586e-56,-2.37
17,998,1.8195714375030884e-55,1.7009485949259956e-56,-2.37
18,999,1.5977573655050197e-55,1.4935951894352656e-56,-2.37
19,1000,1.4029834423696313e-55,1.3115191114880372e-56,-2.37
0,981,2.811498346423654e-50,2.654623013853564e-51,-2.36
1,982,2.493575341239634e-50,2.3544394027664203e-51,-2.36
2,983,2.211602930639392e-50,2.0882004233256776e-51,-2.36
3,984,1.9615158370876353e-50,1.8520676314089635e-51,-2.36
4,985,1.7397084828573867e-50,1.64263663247895e-51,-2.36
5,986,1.5429830073764175e-50,1.4568879994458318e-51,-2.36
6,987,1.3685031627494458e-50,1.2921437407164835e-51,-2.36
7,988,1.21375342275455e-50,1.1460286908176054e-51,-2.36
8,989,1.0765027157764106e-50,1.0164362669503432e-51,-2.36
9,990,9.547722588036205e-51,9.014980977787559e-52,-2.36
10,991,8.468070287435342e-51,7.995570865816211e-52,-2.36
11,992,7.51050459748374e-51,7.091435204112698e-52,-2.36
12,993,6.661220017566501e-51,6.289538808183061e-52,-2.36
13,994,5.907972167049154e-51,5.578320506503232e-52,-2.36
14,995,5.2399012545120486e-51,4.9475264597761226e-52,-2.36
15,996,4.6473755090066085e-51,4.388062328374332e-52,-2.36
