,Time,Non-breeding,Breeding,rnb
12,993,3.7445697125963925e-42,3.607055566038466e-43,-2.34
13,994,3.3882267904013765e-42,3.2637988450864835e-43,-2.34
14,995,3.065794380747049e-42,2.9532073199768016e-43,-2.34
15,996,2.7740454717043145e-42,2.672172486332706e-43,-2.34
16,997,2.5100601421312784e-42,2.4178816530800172e-43,-2.34
17,998,2.2711963381210405e-42,2.1877897920894413e-43,-2.34
18,999,2.0550634304381693e-42,1.9795940666796396e-43,-2.34
19,1000,1.8594982882977957e-42,1.791210784053711e-43,-2.34
0,981,2.0595931417577057e-37,2.0038965342779393e-38,-2.33
1,982,1.882326401223113e-37,1.8314235347335437e-38,-2.33
2,983,1.7203167989371651e-37,1.67379508183265e-38,-2.33
3,984,1.5722511710946486e-37,1.5297335230404661e-38,-2.33
4,985,1.4369293763426088e-37,1.398071171861505e-38,-2.33
5,986,1.3132545680718471e-37,1.2777408431929202e-38,-2.33
6,987,1.2002243039607581e-37,1.1677672032887641e-38,-2.33
7,988,1.0969224207101906e-37,1.0672588642225676e-38,-2.33
8,989,1.0025116081102494e-37,9.75401158770156e-39,-2.33
9,990,9.162266222483653e-38,8.914495371497382e-39,-2.33
10,991,8.373680828485024e-38,8.14723532096748e-39,-2.33
11,992,7.652968044660279e-38,7.446012433575425e-39,-2.33
12,993,6.994286155899203e-38,6.805142968961891e-39,-2.33
13,994,6.392296236587102e-38,6.219432379563506e-39,-2.33
14,995,5.842118876108861e-38,5.684133206368731e-39,-2.33
15,996,5.339294628937587e-38,5.194906598536121e-39,-2.33
16,997,4.879747868737231e-38,4.747787144973442e-39,-2.33
17,998,4.459753753499768e-38,4.339150732821078e-39,-2.33
18,999,4.0759080339538517e-38,3.965685172317687e-39,-2.33
19,1000,3.7250994605279654e-38,3.6243633499488385e-39,-2.33
0,981,3.371627898149413e-33,3.3134196287483993e-34,-2.32
1,982,3.112404826714939e-33,3.0586718217359866e-34,-2.32
2,983,2.873111772113226e-33,2.82350995687668e-34,-2.32
3,984,2.6522164418335946e-33,2.6064281953782895e-34,-2.32
4,985,2.448304351611992e-33,2.4060364728367196e-34,-2.32
5,986,2.260069767902564e-33,2.2210515980780215e-34,-2.32
6,987,2.0863073467251076e-33,2.050289036353983e-34,-2.32
7,988,1.9259044153484784e-33,1.8926553242756656e-34,-2.32
8,989,1.7778338473863776e-33,1.7471410679145661e-34,-2.32
9,990,1.641147485681809e-33,1.6128144792353397e-34,-2.32
