Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Breeding,0.8,-0.2,53.2879715296096,55.39060514118968,-2.1026336115800817,1.7791049022459624,3.1652142531956153,0.3998437410229886,0.15974905509674922,0.07404807104715713,0.032234535281866566,0.04144359338445603,0.10448907099759733,0.2524519846040441,0.07975826102424738,0.004574026182729981
Non-breeding,0.8,-0.1,73.4684158252226,75.54321312820612,-2.0747973029835123,1.5027400583307269,2.2582276829118366,0.30682478296752197,0.08418036142686117,0.01010626835777451,0.019920028944702052,0.06212641919115756,-0.016064980363888724,0.15620153545109763,0.06916996750730023,0.0020705770702945975
Breeding,0.8,-0.1,63.31424590634496,65.06389352499097,-1.7496476186460157,1.9291729660024854,3.721708332754827,0.30576977748109235,0.08811376913596572,0.03580741447978761,0.02973539170167461,0.053631423975487764,0.12224368000304904,0.24981939735117598,0.06712492624758115,0.0038506021833316214
Non-breeding,0.8,0.0,77.27561010632851,78.80743692713446,-1.5318268208059465,1.5746602718737759,2.4795549718175938,0.2149709714005749,0.03348958502161289,-0.009882681463066065,0.020002354974229218,0.06878953148007451,-0.006601682735461491,0.1458394961713043,0.05881680294605416,0.0018525477677860712
Breeding,0.8,0.0,73.4151109926539,74.83742675024882,-1.4223157575949301,2.106569830227722,4.437636449625654,0.21282288859225879,0.0341332341081304,0.01416702033412304,0.028215725200261704,0.05762894544811575,0.1268211835124514,0.25032957819822,0.056410564731893945,0.0033529534538026006
Non-breeding,0.9,-0.8,15.7050107609058,19.981836879754297,-4.276826118848497,1.8557594299456788,3.443843061832311,0.8936678326904685,0.8049421001043393,0.7258373702203369,0.09596899528412803,-0.010315676411008369,-0.3128365194411427,0.535738178581705,0.15556405125402645,0.027705236952690563
Breeding,0.9,-0.8,6.91240720203347,8.876418294748396,-1.9640110927149257,0.8964240314667105,0.8035760441910299,0.8939914002707898,0.8051237857701158,0.726970521400082,0.10455596776354269,0.032421435098167375,-0.32556815107313386,0.12484612994751901,0.15536318043577715,0.014561644355783438
Non-breeding,0.9,-0.7,31.150051215972447,36.56232740642171,-5.412276190449262,2.1002050574918147,4.410861283514197,0.7902642730860088,0.6329674606345363,0.5075811036899052,0.05825180540268306,-0.08310520862571383,-0.150526722825503,0.6915793515715487,0.1567900931630653,0.019181815444426716
Breeding,0.9,-0.7,15.093101137503124,17.748492554333193,-2.655391416830069,1.215973862501601,1.4785924342870622,0.7912953813071564,0.6344899622119677,0.5122133104771923,0.06960221881799131,-0.01809102621170361,-0.17792224878076424,0.2327602078260708,0.15742012635030259,0.01332317035491376
Non-breeding,0.9,-0.6,45.02689771382044,50.44043579627425,-5.413538082453812,2.0597877672964766,4.242725646304204,0.6899197837923325,0.48427399523491454,0.3395656796819156,0.04116665269773794,-0.09256075359474178,-0.0667770486110276,0.5459988772764941,0.12869059250911222,0.010912263152090583
Breeding,0.9,-0.6,23.945223666929774,26.80944071576177,-2.8642170488319962,1.436847868984466,2.0645317986052008,0.691573710067337,0.4873277188844135,0.34856285021903993,0.05412716400455663,-0.014955310656629502,-0.08746411917231019,0.26902748733066606,0.13030920013555675,0.010134472300656745
