r,Frequency,0
0.3,2.5132741228718345,0.007546064649242084
0.3,2.6703537555513246,0.007791465686200333
0.3,2.827433388230814,0.007508549885616649
0.3,2.9845130209103035,0.006936892194642893
0.3,3.141592653589793,0.007286651836898509
0.35,-3.141592653589793,0.008811258345123148
0.35,-2.9845130209103035,0.008376380422313102
0.35,-2.827433388230814,0.009038058359523064
0.35,-2.6703537555513246,0.009340940322560267
0.35,-2.5132741228718345,0.009041249839126844
0.35,-2.356194490192345,0.00959646744838692
0.35,-2.199114857512855,0.011417901690978767
0.35,-2.0420352248333655,0.012179284194448397
0.35,-1.884955592153876,0.013280132828004717
0.35,-1.7278759594743864,0.014328987489452204
0.35,-1.5707963267948966,0.01591376137675085
0.35,-1.413716694115407,0.020741071405262972
0.35,-1.2566370614359172,0.022754651731647955
0.35,-1.0995574287564276,0.025608361332006366
0.35,-0.942477796076938,0.03187510067135336
0.35,-0.7853981633974483,0.0404614292494866
0.35,-0.6283185307179586,0.058332530353444156
0.35,-0.471238898038469,0.07787879733601746
0.35,-0.3141592653589793,0.11432405995262439
0.35,-0.15707963267948966,0.11438545491060662
0.35,0.0,0.04231066472339041
0.35,0.15707963267948966,0.11438545491060662
0.35,0.3141592653589793,0.11432405995262439
0.35,0.471238898038469,0.07787879733601746
